Predicted Power,Actual Power,Error,Absolute Error,Relative Error (%),Timestamp
80.80929752984885,48.12,-32.68929752984885,32.68929752984885,67.93287100951979,2025/1/29 14:15
101.12550414700848,47.76,-53.36550414700849,53.36550414700849,111.73681772800828,2025/1/29 14:30
133.648421126421,70.07,-63.578421126421006,63.578421126421006,90.73558031444308,2025/1/29 14:45
146.25898487716134,93.43,-52.82898487716133,52.82898487716133,56.54392045071688,2025/1/29 15:00
147.2328270329876,96.69,-50.54282703298759,50.54282703298759,52.27306550101905,2025/1/29 15:15
152.205365093018,99.98,-52.225365093018,52.225365093018,52.235812255416846,2025/1/29 15:30
150.53111921654093,104.87,-45.661119216540925,45.661119216540925,43.54068772432286,2025/1/29 15:45
152.7000127290939,124.23,-28.47001272909391,28.47001272909391,22.91718001213152,2025/1/29 16:00
170.6086288534062,137.63,-32.97862885340621,32.97862885340621,23.96180255277356,2025/1/29 16:15
185.9667267834742,145.83,-40.13672678347419,40.13672678347419,27.52295603335848,2025/1/29 16:30
194.35243778023383,151.32,-43.03243778023384,43.03243778023384,28.43803712675483,2025/1/29 16:45
206.162596776716,140.38,-65.78259677671599,65.78259677671599,46.860376675216656,2025/1/29 17:00
214.1304213451424,147.24,-66.89042134514236,66.89042134514236,45.42951734929159,2025/1/29 17:15
210.5685233734812,155.14,-55.42852337348123,55.42852337348123,35.72806714802469,2025/1/29 17:30
219.4803806668068,152.45,-67.03038066680682,67.03038066680682,43.96876396639085,2025/1/29 17:45
220.4634924206657,149.47,-70.99349242066569,70.99349242066569,47.496817033932025,2025/1/29 18:00
218.64308936468717,143.41,-75.23308936468715,75.23308936468715,52.46014180645331,2025/1/29 18:15
228.1972046755577,136.98,-91.21720467555777,91.21720467555777,66.59162262774943,2025/1/29 18:30
235.0625239554358,145.23,-89.83252395543582,89.83252395543582,61.855349414978974,2025/1/29 18:45
238.9153182824244,164.28,-74.63531828242438,74.63531828242438,45.43177397271667,2025/1/29 19:00
241.09803870915104,155.64,-85.45803870915105,85.45803870915105,54.90750366814196,2025/1/29 19:15
237.36319195221455,162.16,-75.20319195221458,75.20319195221458,46.37592004943773,2025/1/29 19:30
240.24478681815296,180.8,-59.44478681815295,59.44478681815295,32.87875377108411,2025/1/29 19:45
231.15778001964975,167.69,-63.46778001964978,63.46778001964978,37.84827957517559,2025/1/29 20:00
207.18008866469663,158.45,-48.73008866469664,48.73008866469664,30.754237087198412,2025/1/29 20:15
213.3537248486605,153.03,-60.3237248486605,60.3237248486605,39.41954182096392,2025/1/29 20:30
206.12731785664712,142.94,-63.18731785664713,63.18731785664713,44.20548331929686,2025/1/29 20:45
205.70581311662,152.07,-53.63581311661997,53.63581311661997,35.27047617319965,2025/1/29 21:00
200.2525596584009,168.81,-31.44255965840094,31.44255965840094,18.62600536602234,2025/1/29 21:15
207.2045355530217,176.61,-30.59453555302173,30.59453555302173,17.32321813770704,2025/1/29 21:30
203.23040645843253,179.85,-23.38040645843256,23.38040645843256,12.999947989112906,2025/1/29 21:45
210.7310742772438,164.26,-46.471074277243815,46.471074277243815,28.291169047373387,2025/1/29 22:00
207.19437553374397,170.41,-36.78437553374394,36.78437553374394,21.58580807095966,2025/1/29 22:15
213.8677940356852,165.26,-48.60779403568523,48.60779403568523,29.4129214786735,2025/1/29 22:30
217.1928616600993,171.77,-45.42286166009933,45.42286166009933,26.44400166505961,2025/1/29 22:45
212.8156940882824,203.98,-8.835694088282366,8.835694088282366,4.331647263593507,2025/1/29 23:00
221.78099419218933,224.19,2.409005807810672,2.409005807810672,1.0745375832149506,2025/1/29 23:15
230.6523189134554,224.15,-6.502318913455383,6.502318913455383,2.900878391011592,2025/1/29 23:30
233.91400381028583,231.73,-2.1840038102858443,2.1840038102858443,0.9424778018749848,2025/1/29 23:45
234.4617019952183,233.72,-0.7417019952183068,0.7417019952183068,0.3173463953525541,2025/1/30 0:00
236.7817681299344,234.87,-1.9117681299343587,1.9117681299343587,0.813968633683972,2025/1/30 0:15
236.58086130875455,256.62,20.039138691245427,20.039138691245427,7.808876428664025,2025/1/30 0:30
240.0826294128664,264.05,23.967370587133644,23.967370587133644,9.076830368159277,2025/1/30 0:45
243.19824721251956,263.49,20.29175278748048,20.29175278748048,7.701147211458793,2025/1/30 1:00
239.28001620001575,280.61,41.32998379998424,41.32998379998424,14.728621146776488,2025/1/30 1:15
247.4951719836153,284.59,37.09482801638467,37.09482801638467,13.034480486444233,2025/1/30 1:30
247.13420869533564,278.87,31.73579130466436,31.73579130466436,11.38013816640477,2025/1/30 1:45
255.912694724429,287.07,31.15730527557099,31.15730527557099,10.853556719810548,2025/1/30 2:00
260.0492540881765,327.54,67.49074591182347,67.49074591182347,20.605344663797663,2025/1/30 2:15
250.59628842889288,357.0,106.40371157110712,106.40371157110712,29.80496122439141,2025/1/30 2:30
250.2795709823406,335.9,85.62042901765938,85.62042901765938,25.48985680786957,2025/1/30 2:45
247.43970528451015,315.88,68.44029471548981,68.44029471548981,21.666548915875698,2025/1/30 3:00
246.66876988381077,307.72,61.05123011618929,61.05123011618929,19.83986419997707,2025/1/30 3:15
255.62515399637232,293.2,37.57484600362767,37.57484600362767,12.815431788408889,2025/1/30 3:30
260.0189118704343,295.29,35.271088129565726,35.271088129565726,11.944558952065352,2025/1/30 3:45
261.5545436372283,306.25,44.69545636277172,44.69545636277172,14.594434730696207,2025/1/30 4:00
260.05237720592004,329.42,69.36762279407998,69.36762279407998,21.05750191064869,2025/1/30 4:15
259.5147203648676,337.47,77.9552796351324,77.9552796351324,23.09991395831016,2025/1/30 4:30
260.2341002762049,325.18,64.9458997237951,64.9458997237951,19.972292183952003,2025/1/30 4:45
262.55863387417025,310.91,48.35136612582977,48.35136612582977,15.55156351542704,2025/1/30 5:00
275.6570784591146,308.17,32.51292154088543,32.51292154088543,10.550320128784398,2025/1/30 5:15
282.6083397060324,320.87,38.26166029396762,38.26166029396762,11.924349516612864,2025/1/30 5:30
277.7442395883248,319.79,42.045760411675246,42.045760411675246,13.14792845669411,2025/1/30 5:45
278.18873813376365,324.78,46.59126186623632,46.59126186623632,14.345483670860885,2025/1/30 6:00
276.0014237980267,336.86,60.858576201973335,60.858576201973335,18.066430030860083,2025/1/30 6:15
279.09957728991645,325.13,46.03042271008354,46.03042271008354,14.157543970125609,2025/1/30 6:30
274.9759205628479,303.92,28.94407943715214,28.94407943715214,9.5235849687887,2025/1/30 6:45
276.79205994885217,314.11,37.31794005114784,37.31794005114784,11.880532313882386,2025/1/30 7:00
279.38191634068977,337.34,57.958083659310205,57.958083659310205,17.180910552941555,2025/1/30 7:15
277.74382014430034,343.44,65.69617985569965,65.69617985569965,19.12886671781986,2025/1/30 7:30
268.04024484237334,340.59,72.54975515762663,72.54975515762663,21.30119943556926,2025/1/30 7:45
272.37020532255855,336.05,63.67979467744146,63.67979467744146,18.949499978402773,2025/1/30 8:00
270.0119299773128,342.52,72.5080700226872,72.5080700226872,21.169003276499488,2025/1/30 8:15
269.60195783664426,345.73,76.12804216335576,76.12804216335576,22.019507177084357,2025/1/30 8:30
264.6922355005963,338.03,73.33776449940365,73.33776449940365,21.69563781302901,2025/1/30 8:45
267.7850241978736,338.63,70.84497580212638,70.84497580212638,20.921057142635167,2025/1/30 9:00
267.0389123754035,337.0,69.96108762459647,69.96108762459647,20.75996665417677,2025/1/30 9:15
265.16008599617334,308.62,43.45991400382667,43.45991400382667,14.08201477668738,2025/1/30 9:30
257.7764315664181,297.07,39.29356843358187,39.29356843358187,13.227040237509222,2025/1/30 9:45
