Predicted Power,Actual Power
22.077049111548412,29.51
22.32720809588741,29.14
22.71878096357478,34.95
22.73009553160324,35.7
22.73009553160324,36.59
22.477029822297155,37.04
36.14672194825586,36.84
44.917221090562585,36.55
45.72374211270933,36.28
45.85359827625134,38.25
45.826816597346046,58.04
46.127080680902324,55.98
46.127080680902324,51.94
46.55012772304834,61.48
46.55012772304834,58.76
46.55012772304834,61.23
46.55012772304834,53.8
47.04622609435131,58.31
47.7001527925211,65.38
44.029019353417716,72.25
44.209484353308156,77.7
45.456563765017435,77.4
46.373296606692534,74.49
47.91866312393109,67.56
47.908978318448135,75.95
49.103910258161214,75.49
49.103910258161214,73.65
52.2582619642694,69.62
44.99882136174467,70.41
40.518510357236245,56.58
48.24240256559583,45.29
52.18243453890733,49.99
49.879384953127996,56.75
46.41508048211268,55.98
46.40630471903927,51.88
46.082052948779705,48.82
44.7524047008249,48.03
32.939179931073326,42.26
27.760728490093882,44.06
31.222690007503697,44.17
29.58834771422551,40.11
23.84863405586872,40.16
23.49091768470687,35.83
22.253290737820787,29.63
23.670520720403648,22.41
25.997313878140957,14.91
27.179250685917836,7.48
27.145675245209567,5.59
28.49006038191932,5.64
29.31636630693161,9.06
28.81723149532106,11.52
28.484104879951673,16.62
28.63982541933676,20.11
28.92213521878065,21.92
27.627985854658196,26.49
29.927937350751023,32.12
30.02736990622311,35.74
31.095271506217166,46.86
32.24223725603103,45.91
32.39775299597443,41.13
32.31218441864024,44.64
30.84654516137727,39.96
29.4743132903841,36.54
29.687900937651385,41.86
31.12463707327218,38.81
31.188960331020443,35.31
31.492219067383093,31.01
31.674522432683784,24.34
31.782488048096734,19.93
31.461759376514866,22.45
31.564246767862993,20.75
31.74574305932306,20.49
33.75558010649678,22.39
32.380931908785485,25.1
31.827802771452372,33.2
31.63253688277486,35.9
31.675058193274243,42.14
34.40608624828947,43.5
33.88519973426241,41.98
30.751969755728076,35.78
29.39521321283223,42.29
28.484841321449476,37.25
