Predicted Power,Actual Power
28.780715105676464,29.51
28.77515579588269,29.14
28.509903541871193,34.95
28.19894369773774,35.7
29.12825498879457,36.59
27.576952697141902,37.04
36.25957656623652,36.84
47.671667333496714,36.55
48.26440514021709,36.28
48.26440514021709,38.25
48.18470459722393,58.04
48.18470459722393,55.98
48.56456707828956,51.94
49.21561625795394,61.48
50.909177163660516,58.76
50.28981133397277,61.23
52.32567430695766,53.8
52.682342470116595,58.31
53.591832572673084,65.38
49.75535366102951,72.25
49.90959109847962,77.7
51.02995084066003,77.4
55.75995516431488,74.49
56.03850318033403,67.56
54.47192378754974,75.95
56.408092131132165,75.49
55.9807047734691,73.65
56.165940275805184,69.62
55.6996444937695,70.41
49.77069590393876,56.58
52.335691300278356,45.29
56.93023653109712,49.99
56.08967257168092,56.75
53.51252594548296,55.98
53.225151144506015,51.88
53.776785563133,48.82
52.18212607346563,48.03
42.96041526275949,42.26
36.99319482290172,44.06
38.18677963627637,44.17
35.52553810499828,40.11
30.15587761959902,40.16
30.903483753762007,35.83
29.32953141536032,29.63
31.455270509277465,22.41
34.30639163536648,14.91
34.33245545589601,7.48
33.94240384969642,5.59
37.16027329437869,5.64
36.98009859250027,9.06
36.97726129132201,11.52
36.779933865625296,16.62
37.211920769662726,20.11
37.40629755502096,21.92
37.50668823403009,26.49
38.55503662647722,32.12
39.15123962824485,35.74
39.744093369320524,46.86
41.214344667148616,45.91
40.37890813908661,41.13
39.366899616405306,44.64
36.14400167948431,39.96
35.00115589489856,36.54
33.71359183222607,41.86
36.544077568157746,38.81
36.92535472275602,35.31
36.684057408399596,31.01
37.216005563678564,24.34
37.30960986928484,19.93
37.46835561554408,22.45
37.233470298488065,20.75
35.89904657487953,20.49
39.305288042678015,22.39
37.751096355031095,25.1
38.953726801852284,33.2
39.1047873626758,35.9
39.85188874784542,42.14
43.2155496777555,43.5
43.81541700839036,41.98
41.9074914878923,35.78
41.32642545182984,42.29
41.366734933548955,37.25
