date,MAE,MSE,RMSE,ACC,K,Pe,n_samples
2025-01-29,49.86251917467605,2985.8924352845042,54.64332013416191,0.8795075630999737,0.5988826734263408,0.0,39
2025-01-30,70.8035407099854,5661.589252081118,75.24353295852819,0.8340826175115145,0.7920919642606953,0.0,96
2025-01-31,22.824128407096328,773.476530782874,27.811446039047915,0.9386737683813717,0.8974244382892,0.0,96
2025-02-01,14.50012126161612,322.4312294063941,17.956370162323847,0.9604049169518769,0.9416971283826954,0.0,96
2025-02-02,60.265340478674425,4663.355072911049,68.28876242040889,0.8494183849605096,0.5860293409853938,0.0,96
2025-02-03,30.817264630807255,1685.3401122294526,41.052894078608546,0.9094754265080297,0.7373556793656215,0.0,96
2025-02-04,57.39116531993151,5502.989480587079,74.18213720692522,0.8364230712085442,0.2081022966395547,0.0,96
2025-02-05,47.76556953149401,3417.73867015475,58.46142890962168,0.871088359625972,0.7078434726057018,0.0,96
2025-02-06,47.837778213699245,3383.911209692924,58.17139511557999,0.8717279049270563,0.5554303132841234,0.0,96
2025-02-07,23.521502691314208,1020.2611251554569,31.94152665661829,0.9295666446381075,0.784962744187371,0.0,96
2025-02-08,20.920551292451602,569.8494675407,23.87152000901283,0.9473615876317247,0.7368079381586237,0.0,96
2025-02-09,14.829434684324601,365.9634773586611,19.13017191137239,0.9578165999749231,0.8128958801213662,0.0,96
2025-02-10,58.42467655160414,3970.3882058216673,63.01101654331302,0.8610561928482624,0.7335562039682683,0.0,96
2025-02-11,32.04745659895396,1352.9654880060336,36.782679184719996,0.9188915563732746,0.8881262703577893,0.0,96
2025-02-12,38.808845318165176,2465.66955349612,49.655508793044504,0.890506044557785,0.5581935650400761,0.0,96
2025-02-13,24.9879594142208,961.9582417934422,31.015451661928804,0.931608706368404,0.7517887672145296,0.0,96
2025-02-14,42.201736767732115,2404.7963593754907,49.03872306020509,0.89186610130054,0.7129033891751441,0.0,96
2025-02-15,46.72289150299108,2867.5315752900024,53.549337767053686,0.8819198726195068,0.6905326783782147,0.0,96
2025-02-16,59.33003119266246,6680.517352888201,81.73443186863294,0.8197697202455724,0.1855929109374943,4.63943186863291,96
2025-02-17,32.97792258446834,1720.1195000076514,41.474323382155994,0.9085461446920485,0.6791542036707616,0.0,96
2025-02-18,30.855172040908517,1583.6365317817208,39.794930980989534,0.91224932528999,0.5997504698649596,0.0,96
2025-02-19,23.313316082465803,837.9693869718543,28.947700892676334,0.9361682449996112,0.8449007687241099,0.0,96
2025-02-20,25.395131514573944,993.4321485423249,31.518758677053334,0.9304988783306432,0.7480499875168637,0.0,96
2025-02-21,21.528135036660814,795.4391973368425,28.203531646530415,0.9378091915181248,0.8053477417738863,0.0,96
2025-02-22,49.007698060604724,3855.897994123248,62.095877432590065,0.8630741401706945,0.7116200988425476,0.0,96
2025-02-23,19.362035454146717,709.0689045223235,26.628347761780553,0.9412825848692822,0.7780624858359,0.0,96
2025-02-24,38.003378727185606,2343.411269387912,48.408793306463565,0.8932551415513482,0.6094221984680896,0.0,96
2025-02-25,55.06104869277567,6046.088896161925,77.75660033824732,0.8285411238406895,0.6885460313684759,0.661600338247315,96
2025-02-26,43.093458976036665,3488.4550491908776,59.06314459280743,0.8697615334226958,0.738213482179544,0.0,96
2025-02-27,45.35411581995357,3199.3066890629875,56.56241410214903,0.8752758233690209,0.7248665231332976,0.0,96
2025-02-28,51.80551827372644,3369.0369968813065,58.043406144723335,0.8720101297801028,0.8314459314705664,0.0,96
2025-03-01,55.36316678161524,3307.4631523346384,57.51054818322147,0.8731851197723892,0.83450814429914,0.0,96
2025-03-02,59.79173332452742,4844.656265575203,69.60356503495495,0.8465191509703309,0.6114970890749961,0.0,96
2025-03-03,50.05991069080746,3556.150382249147,59.63346696486082,0.8685039317202627,0.7522353529080933,0.0,96
2025-03-04,43.10335875036417,2628.9852041155586,51.27363068981519,0.8869379698129765,0.7866968377880007,0.0,96
2025-03-05,34.428365162795544,1942.453918468458,44.07327896207018,0.9028152613846303,0.7623425423378236,0.0,96
2025-03-06,40.52549040284177,2189.552700417098,46.79265647959195,0.8968188390747697,0.7050826561972598,0.0,96
2025-03-07,57.19996069141187,5453.317025669999,73.84657761650162,0.837163004153249,0.18602599819321275,0.0,96
2025-03-08,54.42519333802493,4487.6220631717415,66.9897161000981,0.8522828751927275,0.45707498279871916,0.0,96
2025-03-09,48.76259148672381,2918.3855234071248,54.02208366406395,0.8808774340373452,0.67499420911345,0.0,96
2025-03-10,63.24403944512205,6101.734362506902,78.1135990881671,0.827753916012862,0.6805575534326604,1.0185990881670794,96
2025-03-11,89.8200423274994,8675.060962423528,93.14000731384729,0.7946196090102595,0.7307347641687558,16.04500731384729,96
2025-03-12,57.216401113991004,4000.153393229662,63.246765871700205,0.8605363486842332,0.7742998720910468,0.0,96
2025-03-13,43.9133056447759,2733.6806253014456,52.284611744771,0.8847086841350144,0.7905588850771483,0.0,96
2025-03-14,63.57928445146208,5395.961809108736,73.45721073597021,0.8380215860287317,0.6817717051704891,0.0,96
