Timestamp,Predicted_Power
2025-05-06 00:00:00,156.9643419411402
2025-05-06 00:15:00,152.62291009446577
2025-05-06 00:30:00,153.95591551268296
2025-05-06 00:45:00,152.4623584937674
2025-05-06 01:00:00,148.09368202234967
2025-05-06 01:15:00,142.05348531193414
2025-05-06 01:30:00,134.41134294499886
2025-05-06 01:45:00,130.21806820009886
2025-05-06 02:00:00,129.17091096776045
2025-05-06 02:15:00,125.27183882932917
2025-05-06 02:30:00,127.82566476061196
2025-05-06 02:45:00,124.70784913301067
2025-05-06 03:00:00,113.21846279877774
2025-05-06 03:15:00,112.6983715553045
2025-05-06 03:30:00,107.53823653421023
2025-05-06 03:45:00,104.71331384977934
2025-05-06 04:00:00,99.16411509701375
2025-05-06 04:15:00,91.50824601395819
2025-05-06 04:30:00,91.33558636747875
2025-05-06 04:45:00,94.43388217866413
2025-05-06 05:00:00,91.8664982543477
2025-05-06 05:15:00,93.85425317317564
2025-05-06 05:30:00,93.9029103939731
2025-05-06 05:45:00,92.39033595250388
2025-05-06 06:00:00,95.60788923940291
2025-05-06 06:15:00,88.776674832412
2025-05-06 06:30:00,87.75003078465193
2025-05-06 06:45:00,86.66717773298292
2025-05-06 07:00:00,85.3149510387812
2025-05-06 07:15:00,85.134074879037
2025-05-06 07:30:00,83.29903181037581
2025-05-06 07:45:00,80.45582875630184
2025-05-06 08:00:00,76.79307891005705
2025-05-06 08:15:00,73.69879727829249
2025-05-06 08:30:00,68.98514086215303
2025-05-06 08:45:00,66.88682482500334
2025-05-06 09:00:00,59.8330819982321
2025-05-06 09:15:00,55.59658785092443
2025-05-06 09:30:00,57.77987712429885
2025-05-06 09:45:00,63.99054157978437
2025-05-06 10:00:00,67.7184522419567
2025-05-06 10:15:00,72.32524278486139
2025-05-06 10:30:00,72.96749968848287
2025-05-06 10:45:00,76.54397066177738
2025-05-06 11:00:00,93.50223878811214
2025-05-06 11:15:00,95.46742718030251
2025-05-06 11:30:00,101.06265782437288
2025-05-06 11:45:00,109.86532925203454
2025-05-06 12:00:00,117.0702970141156
2025-05-06 12:15:00,115.8684225325697
2025-05-06 12:30:00,120.68063979511129
2025-05-06 12:45:00,118.017500007299
2025-05-06 13:00:00,121.54461527839247
2025-05-06 13:15:00,125.07010797161801
2025-05-06 13:30:00,130.89807792326374
2025-05-06 13:45:00,148.33714336099098
2025-05-06 14:00:00,147.1530361071567
2025-05-06 14:15:00,144.51476966379175
2025-05-06 14:30:00,145.91755833837175
2025-05-06 14:45:00,146.7449188490232
2025-05-06 15:00:00,151.7972427754652
2025-05-06 15:15:00,159.0162506763784
2025-05-06 15:30:00,174.42966712838827
2025-05-06 15:45:00,177.02994467437915
2025-05-06 16:00:00,192.8348041275986
2025-05-06 16:15:00,199.53383867136068
2025-05-06 16:30:00,207.1168447771527
2025-05-06 16:45:00,210.54469948385503
2025-05-06 17:00:00,211.2907629051294
2025-05-06 17:15:00,210.24330705396522
2025-05-06 17:30:00,206.41156110738808
2025-05-06 17:45:00,204.28429583501034
2025-05-06 18:00:00,199.7254929426429
2025-05-06 18:15:00,199.49860129605173
2025-05-06 18:30:00,201.07330998700925
2025-05-06 18:45:00,201.18112761414565
2025-05-06 19:00:00,199.90256683641033
2025-05-06 19:15:00,198.24955974559944
2025-05-06 19:30:00,199.40044866750034
2025-05-06 19:45:00,205.32756585179732
2025-05-06 20:00:00,205.19696887702295
2025-05-06 20:15:00,217.0989656748816
2025-05-06 20:30:00,219.60977409304044
2025-05-06 20:45:00,212.8232993463333
2025-05-06 21:00:00,211.76035811807887
2025-05-06 21:15:00,213.9847423946306
2025-05-06 21:30:00,216.27152629185935
2025-05-06 21:45:00,218.02599445189662
2025-05-06 22:00:00,213.4438889169002
2025-05-06 22:15:00,205.34308595348529
2025-05-06 22:30:00,201.20479491695295
2025-05-06 22:45:00,192.7024439829832
2025-05-06 23:00:00,194.25919988722413
2025-05-06 23:15:00,189.08603709848117
2025-05-06 23:30:00,198.27506348806264
2025-05-06 23:45:00,207.40880130543889
2025-05-07 00:00:00,210.8940238374557
