Timestamp,Predicted Power
2024-04-17 00:00:00,221.74128532787302
2024-04-17 00:15:00,222.58563926405756
2024-04-17 00:30:00,220.70772713756287
2024-04-17 00:45:00,220.95368451088495
2024-04-17 01:00:00,220.76145517860766
2024-04-17 01:15:00,220.81688514225596
2024-04-17 01:30:00,221.12082213395803
2024-04-17 01:45:00,222.24145993732822
2024-04-17 02:00:00,222.08461334165494
2024-04-17 02:15:00,222.8991893489007
2024-04-17 02:30:00,223.38137287113338
2024-04-17 02:45:00,223.2172035975011
2024-04-17 03:00:00,224.35653912354155
2024-04-17 03:15:00,224.87121414684884
2024-04-17 03:30:00,225.32501281122683
2024-04-17 03:45:00,225.89340435834526
2024-04-17 04:00:00,226.38904149293165
2024-04-17 04:15:00,226.62621532604626
2024-04-17 04:30:00,227.5125511612589
2024-04-17 04:45:00,227.706038620585
2024-04-17 05:00:00,228.9297562930218
2024-04-17 05:15:00,229.0488101312264
2024-04-17 05:30:00,229.25417829558296
2024-04-17 05:45:00,230.15633990032626
2024-04-17 06:00:00,230.6949170898719
2024-04-17 06:15:00,230.64608473669676
2024-04-17 06:30:00,230.8255295178342
2024-04-17 06:45:00,230.36602547006026
2024-04-17 07:00:00,230.22057083810927
2024-04-17 07:15:00,230.3003913545628
2024-04-17 07:30:00,228.93608011202198
2024-04-17 07:45:00,227.70346766420846
2024-04-17 08:00:00,228.91087959108265
2024-04-17 08:15:00,228.89116595571306
2024-04-17 08:30:00,227.5077716043796
2024-04-17 08:45:00,226.7488462267276
2024-04-17 09:00:00,226.72492778367945
2024-04-17 09:15:00,226.5632282694746
2024-04-17 09:30:00,223.3013086710801
2024-04-17 09:45:00,223.81635978601975
2024-04-17 10:00:00,223.50234211731902
2024-04-17 10:15:00,224.20233793155762
2024-04-17 10:30:00,224.89079214158568
2024-04-17 10:45:00,221.55207012968256
2024-04-17 11:00:00,216.53830197253217
2024-04-17 11:15:00,216.66988644968393
2024-04-17 11:30:00,219.48148599012802
2024-04-17 11:45:00,219.50275993821444
2024-04-17 12:00:00,217.94766329971455
2024-04-17 12:15:00,220.26859522173356
2024-04-17 12:30:00,222.83238764482672
2024-04-17 12:45:00,219.04016662480524
2024-04-17 13:00:00,220.71492335480082
2024-04-17 13:15:00,221.43843762511554
2024-04-17 13:30:00,214.67707805909995
2024-04-17 13:45:00,214.3039618585338
2024-04-17 14:00:00,217.31354340759964
2024-04-17 14:15:00,220.8565370777339
2024-04-17 14:30:00,222.96040638651687
2024-04-17 14:45:00,214.65629917957614
2024-04-17 15:00:00,213.0163254573938
2024-04-17 15:15:00,207.08960021322994
2024-04-17 15:30:00,200.92949618510877
2024-04-17 15:45:00,195.95457965724546
2024-04-17 16:00:00,197.99780132189687
2024-04-17 16:15:00,205.55760715318883
2024-04-17 16:30:00,207.95219739599113
2024-04-17 16:45:00,209.21009263465822
2024-04-17 17:00:00,213.1624328862563
2024-04-17 17:15:00,213.58290400762175
2024-04-17 17:30:00,218.14388989654708
2024-04-17 17:45:00,218.3030687481504
2024-04-17 18:00:00,215.59258265532216
2024-04-17 18:15:00,210.5730490941165
2024-04-17 18:30:00,209.80399262216403
2024-04-17 18:45:00,210.80736757563642
2024-04-17 19:00:00,210.75388390632833
2024-04-17 19:15:00,219.14526056654734
2024-04-17 19:30:00,211.10623325162027
2024-04-17 19:45:00,211.19880907574355
2024-04-17 20:00:00,212.7586383024501
2024-04-17 20:15:00,214.0777073029183
2024-04-17 20:30:00,210.98690444022398
2024-04-17 20:45:00,204.07295303545254
2024-04-17 21:00:00,207.00452461596555
2024-04-17 21:15:00,208.97679804552556
2024-04-17 21:30:00,208.67917930248956
2024-04-17 21:45:00,214.30178158758204
2024-04-17 22:00:00,211.81127695055199
2024-04-17 22:15:00,221.19915117802157
2024-04-17 22:30:00,222.7550189447065
2024-04-17 22:45:00,224.863740263579
2024-04-17 23:00:00,225.46271797856065
