Predicted Power,Actual Power
20.822271232163857,29.51
20.869001580098377,29.14
21.891509502837927,34.95
21.623899455866162,35.7
20.859259920014374,36.59
26.331283669571,37.04
39.66803846698442,36.84
42.89038686207802,36.55
42.26447858741826,36.28
43.279297511274,38.25
42.713516493568385,58.04
42.91551086412441,55.98
42.886855046583385,51.94
42.42552345333372,61.48
42.42552345333372,58.76
42.29982983395984,61.23
42.29982983395984,53.8
42.5973068549736,58.31
45.294480466047084,65.38
49.15984904894707,72.25
50.69274583435321,77.7
51.44224742236822,77.4
54.65468103371856,74.49
55.78352540764854,67.56
50.225328749372636,75.95
52.542432398357946,75.49
52.04447071924458,73.65
51.64578567914577,69.62
51.144493606240424,70.41
52.2090568387574,56.58
52.58331026706582,45.29
53.02713108722461,49.99
53.69708589529494,56.75
54.88500386699925,55.98
56.79925658740291,51.88
56.482978918923706,48.82
49.81247872873634,48.03
35.083743435036396,42.26
23.94008189924044,44.06
19.422545582611914,44.17
18.9032722612725,40.11
18.508812379028686,40.16
20.193530693994898,35.83
25.403622264577223,29.63
26.054247204113597,22.41
26.183389792645773,14.91
27.876284555548036,7.48
27.808222479777204,5.59
24.75653287938963,5.64
26.703239186244677,9.06
26.598602241411818,11.52
27.377445189349377,16.62
30.141693319391106,20.11
34.728031349618604,21.92
34.86027235914136,26.49
32.954007538936615,32.12
31.817679174457627,35.74
33.73246740925396,46.86
35.380319973728064,45.91
35.092209233508854,41.13
34.08340154678503,44.64
32.815561843647295,39.96
32.378935441061934,36.54
33.28386976455391,41.86
33.76866607611609,38.81
35.71625989576818,35.31
37.72892937105888,31.01
37.27710595974336,24.34
34.35012210258567,19.93
34.26393511984607,22.45
34.01486842131622,20.75
34.157477876198286,20.49
33.72786253855373,22.39
31.911797642071704,25.1
29.91893505509851,33.2
29.730649048844388,35.9
30.10697143825297,42.14
30.260992434511664,43.5
29.720620661967267,41.98
27.9399498020191,35.78
25.699623249352932,42.29
26.152543232837175,37.25
