Predicted Power,Actual Power
28.428698098478417,29.51
29.847849303623963,29.14
32.08577176499837,34.95
31.884944182944352,35.7
32.557705065557386,36.59
30.407005964303906,37.04
37.9856049784587,36.84
50.16875590738072,36.55
49.74507053108918,36.28
49.824896973570375,38.25
51.04075592151078,58.04
51.60178722238203,55.98
51.46222650651343,51.94
51.884973339454014,61.48
52.42362893089372,58.76
52.13359615236585,61.23
52.44963529945034,53.8
53.33595503585651,58.31
54.82289663733097,65.38
51.65076264371237,72.25
52.33409175143342,77.7
53.720709389227274,77.4
55.85775591389453,74.49
56.45705804307675,67.56
55.570139892172136,75.95
55.372198586575045,75.49
54.69192117174863,73.65
56.82397088750427,69.62
54.88737916259731,70.41
47.664707836067954,56.58
48.82887219434841,45.29
55.22245897427864,49.99
53.161423550011946,56.75
50.785942486662066,55.98
53.076633719984216,51.88
53.377365745257215,48.82
54.53903372654417,48.03
45.99262920980419,42.26
36.003373626229916,44.06
37.96212457165943,44.17
38.19746515560987,40.11
35.89635432504507,40.16
33.90434742113136,35.83
32.20205352350838,29.63
33.53311156740901,22.41
36.34170448435741,14.91
36.58111836941792,7.48
36.48968087586283,5.59
37.468729874261044,5.64
36.86100120558352,9.06
35.900110248447724,11.52
35.835957974115566,16.62
35.53201889350697,20.11
35.341103572480414,21.92
35.37060805978056,26.49
37.73157609044245,32.12
37.44732196402203,35.74
37.2461339522699,46.86
37.69501305902556,45.91
36.672299247675156,41.13
35.866921950476105,44.64
34.537399242124465,39.96
32.80707712122856,36.54
32.20743001288788,41.86
32.18237193352793,38.81
33.866944768165446,35.31
33.89686729320782,31.01
34.40206669326896,24.34
34.26519894384102,19.93
35.14761381030057,22.45
34.55658717204733,20.75
34.945513243598896,20.49
38.032269727294846,22.39
37.827998466478775,25.1
40.49299106717321,33.2
41.45589685239847,35.9
42.20527288204267,42.14
45.290424041583066,43.5
44.55618124046035,41.98
42.640421576807135,35.78
41.264796977362266,42.29
42.22804646088988,37.25
